node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now
fd00::202:2:2:2,18,0,0,8,368426,34,34,60,12,24,100,-52,34,68,60,54,0,47,368480
fd00::202:2:2:2,18,0,0,8,378957,35,35,60,12,34,100,-52,35,70,60,23,0,52,378980
fd00::202:2:2:2,18,0,0,8,389488,36,36,60,12,44,100,-52,36,72,60,62,0,57,389550
fd00::202:2:2:2,18,0,0,8,400017,37,37,60,12,54,100,-52,38,74,60,103,0,62,400120
fd00::202:2:2:2,18,0,0,8,410548,38,39,60,12,74,100,-52,39,77,60,72,0,72,410620
fd00::202:2:2:2,18,0,0,8,421079,39,40,60,12,14,100,-52,40,79,60,41,0,42,421120
fd00::202:2:2:2,18,0,0,8,431612,40,41,60,12,24,100,-52,41,81,60,8,0,47,431620
fd00::202:2:2:2,18,0,0,8,442141,41,42,60,12,34,100,-52,42,83,60,49,0,52,442190
fd00::202:2:2:2,18,0,0,8,452672,42,43,60,12,44,100,-52,43,85,60,18,0,57,452690
fd00::202:2:2:2,18,0,0,8,463203,43,44,60,12,54,100,-52,44,87,60,57,0,62,463260
fd00::202:2:2:2,18,0,0,8,473734,44,45,60,12,64,100,-52,45,89,60,26,0,67,473760
fd00::202:2:2:2,18,0,0,8,484265,45,46,60,12,74,100,-52,46,91,60,65,0,72,484330
fd00::202:2:2:2,18,0,0,8,494796,46,47,60,12,14,100,-52,47,93,60,34,0,42,494830
fd00::202:2:2:2,18,0,0,8,505329,47,48,60,12,24,100,-52,48,95,60,71,0,47,505400
fd00::202:2:2:2,18,0,0,8,515860,48,49,60,12,34,100,-52,49,97,60,40,0,52,515900
fd00::202:2:2:2,18,0,0,8,526391,49,50,60,12,44,100,-52,50,99,60,9,0,57,526400
fd00::202:2:2:2,18,0,0,8,536920,50,51,60,12,54,100,-52,51,101,60,50,0,62,536970
