node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,2372.164,2358.46,3044.714,-84.732,18.718,1.202,27.183,5.901,75.695,0.296,2
fd00::203:3:3:3,7522.229,6917.521,9316.479,-70.917,1034.104,0.417,130.396,83.188,123.312,3.167,3
fd00::204:4:4:4,5152.541,3304.27,5786.473,-81.878,92.284,1.419,86.014,44.23,76.892,2.0,4
fd00::205:5:5:5,1928.133,1235.102,2147.786,-84.133,37.643,7.133,65.184,9.357,61.378,0.02,5
fd00::206:6:6:6,3043.41,3734.7,1724.705,-84.758,27.696,1.211,25.943,4.159,59.502,0.511,6
fd00::207:7:7:7,7174.236,7548.945,5733.564,-86.4,40.382,2.909,37.564,8.727,105.236,1.055,7
fd00::208:8:8:8,7008.622,6995.324,10065.324,-85.297,139.541,11.135,101.649,20.73,116.297,2.324,8
fd00::209:9:9:9,10957.19,11308.333,12116.857,-66.857,336.048,0.286,173.0,2.429,9.19,3.19,9
fd00::20a:a:a:a,7316.056,7714.806,7742.0,-51.944,158.139,8.694,103.556,17.778,121.833,2.389,10
fd00::20b:b:b:b,2692.589,2250.049,2433.227,-86.466,61.595,0.245,38.448,58.117,106.123,1.049,11
fd00::20c:c:c:c,2546.5,1878.125,2467.7,-82.875,112.675,0.65,154.025,46.65,93.775,1.025,12
fd00::20d:d:d:d,3662.024,2357.349,4494.795,-85.952,70.361,7.928,77.193,13.024,67.651,1.024,13
fd00::20e:e:e:e,1936.714,2144.857,3427.286,-64.143,462.429,2.286,359.429,32.0,48.571,1.714,14
fd00::20f:f:f:f,10371.154,8818.0,13721.0,-61.923,285.231,0.692,271.692,132.231,162.769,4.0,15
fd00::210:10:10:10,3364.167,5048.417,2210.333,-46.667,855.0,2.75,449.667,129.583,156.833,1.667,16
fd00::211:11:11:11,6095.529,6509.353,7168.706,-77.176,574.882,0.647,95.882,24.588,45.471,4.647,17
fd00::212:12:12:12,0.0,0.0,6377.0,0.0,7.5,0.5,18.0,0.5,4.5,3.0,18
fd00::213:13:13:13,4692.222,4573.389,6924.222,-50.833,98.667,0.389,90.111,97.667,126.278,2.333,19
