node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,2037.964,1402.757,955.74,-82.509,35.686,1.982,37.296,7.68,121.728,0.036,2
fd00::203:3:3:3,4682.306,3341.917,5321.139,-76.694,24.556,0.667,36.444,1.111,3.944,1.333,3
fd00::204:4:4:4,5745.133,4977.0,8216.533,-82.133,151.0,0.533,34.2,1.333,2.067,2.267,4
fd00::205:5:5:5,5835.714,4090.714,13375.143,-55.0,474.571,0.143,69.0,1.857,1.857,3.429,5
fd00::206:6:6:6,4295.324,4926.118,2265.971,-83.471,87.382,1.0,38.676,0.941,5.118,1.0,6
fd00::207:7:7:7,1167.703,623.775,749.675,-88.574,43.416,0.191,29.837,10.043,92.048,0.0,7
fd00::208:8:8:8,1616.535,1079.184,1052.977,-89.585,42.318,0.567,28.963,6.664,58.714,0.028,8
fd00::209:9:9:9,2404.899,1262.681,2289.594,-89.681,16.101,0.681,20.101,0.261,3.449,1.0,9
fd00::20a:a:a:a,3654.733,1756.267,5609.6,-84.933,87.4,0.0,27.8,0.6,0.6,2.0,10
fd00::20b:b:b:b,3290.108,3668.446,2675.538,-41.677,38.015,0.077,22.477,0.477,5.462,2.0,11
fd00::20c:c:c:c,3052.391,3743.119,790.129,-85.579,35.035,0.243,31.153,17.649,105.233,0.0,12
fd00::20d:d:d:d,2516.189,772.324,4603.351,-66.162,62.027,0.649,46.514,6.622,21.243,1.0,13
fd00::20e:e:e:e,3988.0,2637.929,9340.786,-68.357,137.0,0.429,52.143,4.214,11.286,1.571,14
fd00::20f:f:f:f,3746.917,3364.75,4120.833,-59.75,142.667,0.0,32.25,0.583,1.583,2.917,15
fd00::210:10:10:10,3573.0,7480.5,8120.25,-47.5,194.0,1.25,121.75,21.75,35.0,1.25,16
fd00::211:11:11:11,7191.6,4720.0,9696.4,-48.4,763.0,0.0,91.6,1.8,4.2,3.0,17
fd00::212:12:12:12,587.75,368.25,1283.75,-47.75,1295.0,2.75,702.0,129.25,202.75,1.0,18
