node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::207:7:7:7,1068,1068000,1069000,1.0,total_sent
fd00::207:7:7:7,1079,1079000,1080000,1.0,total_sent
fd00::207:7:7:7,1089,1089000,1090000,1.0,total_sent
fd00::207:7:7:7,1309,1309000,1310000,2.0,total_sent
fd00::207:7:7:7,1320,1320000,1321000,1.0,total_sent
fd00::207:7:7:7,1542,1542000,1543000,1.0,total_sent
fd00::207:7:7:7,1552,1552000,1553000,1.0,total_sent
fd00::207:7:7:7,1563,1563000,1564000,1.0,total_sent
fd00::207:7:7:7,1573,1573000,1574000,1.0,total_sent
fd00::207:7:7:7,1582,1582000,1583000,1.0,total_sent
fd00::207:7:7:7,1593,1593000,1594000,1.0,total_sent
fd00::207:7:7:7,1602,1602000,1603000,1.0,total_sent
fd00::207:7:7:7,1619,1619000,1620000,1.0,total_sent
fd00::207:7:7:7,1749,1749000,1750000,1.0,total_sent
fd00::207:7:7:7,1764,1764000,1765000,1.0,total_sent
fd00::207:7:7:7,2042,2042000,2043000,2.0,total_sent
fd00::207:7:7:7,2053,2053000,2054000,1.0,total_sent
fd00::207:7:7:7,2063,2063000,2064000,1.0,total_sent
fd00::207:7:7:7,2075,2075000,2076000,1.0,total_sent
fd00::207:7:7:7,2087,2087000,2088000,1.0,total_sent
fd00::207:7:7:7,2096,2096000,2097000,1.0,total_sent
fd00::207:7:7:7,2105,2105000,2106000,1.0,total_sent
fd00::207:7:7:7,2116,2116000,2117000,1.0,total_sent
fd00::207:7:7:7,2126,2126000,2127000,1.0,total_sent
fd00::207:7:7:7,2137,2137000,2138000,1.0,total_sent
fd00::207:7:7:7,2147,2147000,2148000,1.0,total_sent
fd00::207:7:7:7,2158,2158000,2159000,1.0,total_sent
fd00::207:7:7:7,2168,2168000,2169000,1.0,total_sent
fd00::207:7:7:7,2179,2179000,2180000,1.0,total_sent
fd00::207:7:7:7,2189,2189000,2190000,1.0,total_sent
fd00::207:7:7:7,2203,2203000,2204000,1.0,total_sent
fd00::207:7:7:7,2212,2212000,2213000,1.0,total_sent
fd00::207:7:7:7,2225,2225000,2226000,1.0,total_sent
fd00::207:7:7:7,2232,2232000,2233000,1.0,total_sent
fd00::207:7:7:7,2242,2242000,2243000,1.0,total_sent
fd00::207:7:7:7,2252,2252000,2253000,1.0,total_sent
fd00::207:7:7:7,2262,2262000,2263000,1.0,total_sent
fd00::207:7:7:7,2273,2273000,2274000,1.0,total_sent
fd00::207:7:7:7,2283,2283000,2284000,1.0,total_sent
fd00::207:7:7:7,2294,2294000,2295000,1.0,total_sent
fd00::207:7:7:7,2305,2305000,2306000,1.0,total_sent
fd00::207:7:7:7,2319,2319000,2320000,1.0,total_sent
fd00::207:7:7:7,2325,2325000,2326000,1.0,total_sent
fd00::207:7:7:7,2336,2336000,2337000,1.0,total_sent
fd00::207:7:7:7,2346,2346000,2347000,1.0,total_sent
fd00::207:7:7:7,2357,2357000,2358000,1.0,total_sent
fd00::207:7:7:7,2367,2367000,2368000,1.0,total_sent
fd00::207:7:7:7,2378,2378000,2379000,1.0,total_sent
fd00::207:7:7:7,2388,2388000,2389000,1.0,total_sent
fd00::207:7:7:7,2399,2399000,2400000,1.0,total_sent
fd00::207:7:7:7,2409,2409000,2410000,1.0,total_sent
fd00::207:7:7:7,2619,2619000,2620000,1.0,total_sent
